info,202202,202201,202112,202111,202110,202109,202108,202107,202106,202105,202104,202103,202102,202101,202012,202011,202010,202009,202008,202007,202006,202005,202004,202003,202002,202001
participants_count,200779,201873,204863,223360,217837,235068,236233,236237,200119,215395,238896,249403,242110,233761,227212,134312,121778,127604,137111,142526,135370,146851,144210,133903,130962,131948
licenses_count,11391,11850,11368,11142,10794,10819,10744,10997,9900,9900,10500,10751,14500,13226,14138,14321,15435,16852,16843,16862,18267,17776,14410,11970,7966,8612
submit_seconds,54,53,0,55.8,53.8,56.8,55.5,54.5,56.8,57,57,54.5,54.5,55.5,55.5,56,57.5,56,57.8,57,56.8,0,56.5,57,54.8,55.5
