seconds,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202
45,5.66%,5.13%,4.31%,4.73%,5.01%,5.38%,4.66%,4.55%,4.60%,4.96%,4.99%,5.55%,5.87%,5.67%
46,55.5,57.2,54.5,54.5,57,56.8,54.5,55.5,56.8,53.8,55.8,0,53,54
